rank,name,zip,employees,revenues,latitude,longitude,profit
343,CHESAPEAKE ENERGY,73118,3300,7872,35.53367,-97.52924,-4401
263,ENTERGY,70113,13513,10846,29.94917,-90.07648,-583.6
464,FIRST AMERICAN FINANCIAL,92707,19531,5576,33.7022,-117.85977,343
385,DARDEN RESTAURANTS,32837,150942,6934,28.41777,-81.42347,375
217,WESTERN DIGITAL,92612,72878,12994,33.6705,-117.84007,242
160,CENTURYLINK,71203,40000,17470,32.58997,-92.06862,626
170,NEXTERA ENERGY,33408,14700,16155,26.85979,-80.05985,2912
203,OFFICE DEPOT,33496,38000,13585,26.40427,-80.12051,529
244,TOYS "R" US,7470,64000,11540,40.98003,-74.25564,-36
74,CATERPILLAR,61629,95400,38537,40.69173,-89.58841,-67
395,A-MARK PRECIOUS METALS,19107,83000,6784,39.95213,-75.15845,9.3
192,ARAMARK,19107,217250,14416,39.95213,-75.15845,287.8
333,CROWN HOLDINGS,19154,23992,8284,40.11188,-74.99049,496
469,RAYMOND JAMES FINANCIAL,33716,11900,5520,27.88649,-82.66717,529.4
152,JABIL CIRCUIT,33716,138000,18353,27.86769,-82.64715,254.1
107,TECH DATA,33760,9500,26235,27.9175,-82.70783,195.1
85,PUBLIX SUPER MARKETS,33811,191000,34274,28.0023,-82.01313,2025.7
423,CASEY'S GENERAL STORES,50021,24724,6304,41.693711,-93.57317,226
227,PRINCIPAL FINANCIAL,50392,14854,12394,41.58857,-93.62759,1316.5
7,CVS HEALTH,2895,204000,177526,41.99339,-71.47789,5317
451,CITIZENS FINANCIAL GROUP,2903,17600,5763,41.82884,-71.41286,1045
200,TEXTRON,2903,36000,13788,41.82491,-71.40919,962
325,UNITED NATURAL FOODS,2908,9554,8470,41.8293,-71.43067,125.8
417,DILLARD'S,72201,30800,6418,34.75402,-92.28755,169.2
485,WINDSTREAM HOLDINGS,72212,11870,5387,34.78773,-92.39809,-383.5
403,JETBLUE AIRWAYS,11101,15986,6632,40.75084,-73.93867,759
471,FISERV,53405,23000,5505,43.03355,-88.14072,930
211,ECOLAB,55102,47565,13153,44.94594,-93.09467,1229.6
434,ST. JUDE MEDICAL,55117,18000,6004,45.01234,-93.10161,734
209,LAND O'LAKES,55126,10000,13233,45.06354,-93.15133,244.9
42,METLIFE,10166,58000,63476,40.75306,-73.97776,800
266,VOYA FINANCIAL,10169,6700,10782,40.75439,-73.9761,-428
238,DOMINION RESOURCES,23219,16200,11737,37.534,-77.45263,2123
292,ADVANCE AUTO PARTS,24012,57500,9568,37.31775,-79.95839,459.6
105,DEERE,61265,56767,26644,41.47632,-90.42457,1523.9
246,REINSURANCE GROUP OF AMERICA,63017,2371,11522,38.661306,-90.56653,701.4
66,CENTENE,63105,30500,40721,38.64954,-90.33465,562
420,GRAYBAR ELECTRIC,63105,8500,6385,38.65149,-90.33901,93.1
467,OLIN,63105,6400,5551,38.64849,-90.33389,-3.9
22,EXPRESS SCRIPTS HOLDING,63121,25600,100288,38.71851,-90.31114,3404.4
404,JONES FINANCIAL,63131,43000,6632,38.60453,-90.44781,746
139,EMERSON ELECTRIC,63136,103500,20268,38.73232,-90.28532,1635
204,MONSANTO,63167,22450,13502,38.66933,-90.39977,1336
431,AMEREN,63103,8629,6076,38.6207,-90.21103,653
289,HUNTSMAN,84108,15000,9657,40.75842,-111.81899,326
280,SEMPRA ENERGY,92101,16575,10183,32.71931,-117.16342,1370
119,QUALCOMM,92121,30500,23554,32.89718,-117.19576,5705
5,MCKESSON,94104,68000,192487,37.78877,-122.40257,2258
357,CHARLES SCHWAB,94105,16200,7644,37.79059,-122.3927,1889
178,GAP,94105,135000,15516,37.79086,-122.39103,676
157,PG&E CORP.,94105,24000,17666,37.79146,-122.39592,1393
326,SALESFORCE.COM,94105,25000,8392,37.79387,-122.39486,179.6
25,WELLS FARGO,94163,269100,94176,37.7934,-122.4024,21938
98,FACEBOOK,94025,17048,27638,37.48229,-122.1504,10217
493,ROBERT HALF INTERNATIONAL,94025,16400,5250,37.42176,-122.21504,343.4
81,ORACLE,94065,136000,37047,37.53073,-122.26245,8901
247,CORE-MARK HOLDING,94080,7688,11507,37.667391,-122.383003,54.2
405,FRANKLIN RESOURCES,94403,9059,6618,37.54322,-122.29206,1726.7
92,GILEAD SCIENCES,94404,9000,30390,37.56714,-122.28188,13501
187,VISA,94404,14200,15082,37.5592,-122.27658,5991
264,PAYPAL HOLDINGS,95131,18100,10842,37.37627,-121.92257,1401
27,ALPHABET,94043,72053,90272,37.42202,-122.08432,19478
465,SYMANTEC,94043,11000,5568,37.39779,-122.05465,2488
468,NETAPP,94089,12030,5546,37.41266,-122.01133,229
498,YAHOO,94089,8500,5169,37.4179,-122.0253,-214.3
59,HEWLETT PACKARD ENTERPRISE,94304,195000,50123,37.41467,-122.14572,3161
61,HP,94304,49000,48238,37.41467,-122.14572,2496
383,TESLA,94304,30025,7000,37.39455,-122.15025,-674.9
3,APPLE,95014,116000,215639,37.33177,-122.03042,45687
314,NETFLIX,95032,3850,8831,37.25958,-121.96263,186.7
414,SANMINA,95035,40178,6481,37.39015,-121.92934,187.8
387,NVIDIA,95051,10299,6910,37.37173,-121.96588,1666
265,APPLIED MATERIALS,95054,16150,10825,37.37749,-121.9786,1721
47,INTEL,95054,106000,59387,37.38851,-121.96375,10316
310,EBAY,95125,12600,8979,37.295143,-121.92611,7266
60,CISCO SYSTEMS,95134,73700,49247,37.40866,-121.9537,10739
393,SPIRIT AEROSYSTEMS HOLDINGS,67210,14400,6793,37.62239,-97.28386,469.7
270,AUTOZONE,38103,66780,10636,35.14201,-90.05605,1241
58,FEDEX,38120,335767,50365,35.10565,-89.85831,1820
133,INTERNATIONAL PAPER,38197,55000,21079,35.10015,-89.84948,904
298,CORNING,14831,40700,9390,42.14462,-77.05759,3695
271,STATE STREET CORP.,2111,33783,10635,42.35306,-71.05899,2143
449,AMERICAN TOWER,2116,4507,5786,42.34652,-71.07977,956.4
75,LIBERTY MUTUAL INSURANCE GROUP,2116,50000,38308,42.35006,-71.07208,1006
309,EASTMAN CHEMICAL,37660,14000,9008,36.53579,-82.54941,854
196,FIRSTENERGY,44308,15707,14156,41.083253,-81.518515,-6177
184,GOODYEAR TIRE & RUBBER,44316,66000,15158,41.05943,-81.47725,1264
321,GAMESTOP,76051,41750,8608,32.90274,-97.08751,353.2
232,D.R. HORTON,76102,6976,12157,32.75605,-97.33065,886.3
67,AMERICAN AIRLINES GROUP,76155,122300,40180,32.82564,-97.05058,2676
228,ARCONIC,78660,41500,12394,30.43797,-97.64599,-941
176,WHOLE FOODS MARKET,78703,73515,15724,30.27086,-97.75277,507
312,ONEOK,74103,2384,8921,36.15043,-95.99153,352
237,NGL ENERGY PARTNERS,74136,3200,11742,36.07226,-95.92557,-198.9
367,WILLIAMS,74172,5604,7499,36.15435,-95.99151,-424
233,BED BATH & BEYOND,7083,62000,12104,40.69729,-74.30522,841.5
254,CELGENE,7901,7132,11229,40.70987,-74.34783,1999.2
291,MURPHY USA,71730,6600,9633,33.21469,-92.66231,221.5
413,BERRY GLOBAL GROUP,47711,21000,6489,37.98045,-87.546,236
123,AMGEN,91320,19200,22991,34.19201,-118.91968,7722
82,TYSON FOODS,72762,114000,36881,36.15401,-94.15459,1768
88,NIKE,97005,70700,32376,45.50715,-122.82844,3760
346,J.M. SMUCKER,44667,6910,7811,40.85039,-81.76289,688.7
10,FORD MOTOR,48126,201000,151800,42.31475,-83.2094,4596
372,MASCO,48180,26000,7357,42.26778,-83.24257,491
272,DTE ENERGY,48226,10000,10630,42.33338,-83.05739,868
286,ALLY FINANCIAL,48226,7600,9835,42.330347,-83.044951,1067
8,GENERAL MOTORS,48265,225000,166380,42.32942,-83.04079,9427
32,IBM,10504,414400,79919,41.10754,-73.72124,11872
267,MASTERCARD,10577,11900,10776,41.02329,-73.71059,4059
44,PEPSICO,10577,264000,62799,41.03475,-73.69335,6329
480,DELEK US HOLDINGS,37027,1326,5414,35.97105,-86.8094,-153.7
374,LIFEPOINT HEALTH,37027,47000,7274,36.04162,-86.76894,121.9
396,TRACTOR SUPPLY,37027,19500,6780,36.032478,-86.813115,437.1
130,COMMUNITY HEALTH SYSTEMS,37067,108000,21374,35.95185,-86.81122,-1721
41,DELL TECHNOLOGIES,78682,138000,64806,30.48641,-97.67513,-1672
425,OSHKOSH,54902,13800,6279,43.99301,-88.54267,216.4
401,OWENS-ILLINOIS,43551,27000,6702,41.52773,-83.64698,209
350,SPARTANNASH,49315,11500,7735,42.82551,-85.68454,56.8
150,KOHL'S,53051,85000,18686,43.12196,-88.12328,556
35,JOHNSON & JOHNSON,8933,126400,71890,40.49804,-74.44296,16540
324,PETER KIEWIT SONS',68131,20000,8573,41.25718,-95.96546,396
342,MUTUAL OF OMAHA INSURANCE,68175,5732,7899,41.25847,-95.96229,356.6
111,ABBVIE,60064,30000,25638,42.30212,-87.89156,5953
31,COMCAST,19103,159000,80403,39.95468,-75.16848,8695
36,PROCTER & GAMBLE,45202,105000,71726,39.10311,-84.50542,10508
239,AMERIPRISE FINANCIAL,55474,13195,11735,44.97526,-93.26949,1314
94,3M,55144,91584,30109,44.95067,-92.99524,5050
