rank,name,zip,employees,revenues,latitude,longitude,profit
274,HOLLYFRONTIER,75201,2676,10536,32.79448,-96.80818,-260.5
9,AT&T,75202,268540,163786,32.77946,-96.7993,12976
134,TENET HEALTHCARE,75202,116475,21070,32.78485,-96.80259,-192
351,DEAN FOODS,75204,17000,7710,32.80555,-96.79212,119.9
79,ENERGY TRANSFER EQUITY,75225,30992,37504,32.861433,-96.807209,995
138,SOUTHWEST AIRLINES,75235,53536,20425,32.84607,-96.86395,2244
206,TEXAS INSTRUMENTS,75243,29865,13370,32.91043,-96.75812,3595
315,AMERICAN FAMILY INSURANCE GROUP,53783,10471,8829,43.1549,-89.28863,325.6
369,HERSHEY,17033,17140,7440,40.30256,-76.64913,720
128,DOLLAR GENERAL,37072,121000,21987,36.30908,-86.6993,1251.1
63,HCA HOLDINGS,37203,210500,44747,36.15317,-86.81451,2890
489,AIRGAS,19087,17000,5314,40.04169,-75.35803,337.5
11,AMERISOURCEBERGEN,19087,18500,146850,40.0692,-75.46781,1427.9
207,LINCOLN NATIONAL,19087,9057,13330,40.04054,-75.36449,1192
181,DAVITA HEALTHCARE PARTNERS,80202,70300,15197,39.75385,-105.00405,879.9
20,FANNIE MAE,20016,7000,107162,38.94045,-77.07715,12313
144,DANAHER,20037,62000,19912,38.90158,-77.04905,2553.7
197,CONAGRA FOODS,68102,20900,14134,41.2563,-95.92733,-677
2,BERKSHIRE HATHAWAY,68131,367700,223604,41.25721,-95.96556,24074
143,UNION PACIFIC,68179,42919,19941,41.25917,-95.93518,4233
462,ARTHUR J. GALLAGHER,60143,24790,5595,41.98806,-88.01484,414.4
338,UNIVAR,60515,8700,8074,41.8323,-88.00463,-68.4
392,DOVER,60515,29000,6794,41.83254,-88.00745,508.9
112,MCDONALD'S,60523,375000,24622,41.84894,-87.94548,4686.5
427,TREEHOUSE FOODS,60523,16027,6175,41.84962,-87.94812,-228.6
337,NAVISTAR INTERNATIONAL,60532,11300,8111,41.81126,-88.10736,-97
390,QUINTILES TRANSNATIONAL HOLDINGS,27703,50000,6878,35.88038,-78.84023,115
257,CSX,32202,26628,11069,30.32474,-81.66411,1714
293,FIDELITY NATIONAL FINANCIAL,32204,55219,9554,30.31897,-81.67456,650
301,FIDELITY NATIONAL INFORMATION SERVICES,32204,55000,9241,30.31897,-81.67456,568
398,AUTO-OWNERS INSURANCE,48917,4737,6775,42.72472,-84.64068,706.3
349,WESTERN REFINING,79901,7134,7743,31.75895,-106.48934,124.9
455,M&T BANK CORP.,14203,16487,5722,42.88876,-78.87331,1315.1
382,ERIE INSURANCE GROUP,16530,4988,7016,42.13031,-80.084,741.9
240,ADP,7068,57000,11668,40.81623,-74.30939,1492.5
48,PRUDENTIAL FINANCIAL,7102,49739,58779,40.73666,-74.17158,4368
308,PUBLIC SERVICE ENTERPRISE GROUP,7102,13065,9061,40.7379,-74.16963,887
446,NVR,20190,4900,5835,38.95224,-77.34999,425.3
381,LEIDOS HOLDINGS,20190,32000,7043,38.95909,-77.35907,244
379,COMPUTER SCIENCES CORPORATION,22102,59000,7106,38.923544,-77.220295,251
90,GENERAL DYNAMICS,22042,98800,31353,38.86895,-77.21468,2955
114,NORTHROP GRUMMAN,22042,67000,24508,38.86758,-77.21551,2200
443,ADOBE SYSTEMS,22102,15706,5854,38.92871,-77.21557,1168.8
481,BOOZ ALLEN HAMILTON HOLDING,22102,22600,5406,38.92229,-77.23179,294.1
100,CAPITAL ONE FINANCIAL,22102,47300,27519,38.92432,-77.21334,3751
39,FREDDIE MAC,22102,5982,65665,38.93286,-77.22706,7815
241,HILTON WORLDWIDE HOLDINGS,22102,169000,11663,38.92871,-77.21557,348
275,PRAXAIR,6810,26498,10534,41.38683,-73.53267,1500
13,GENERAL ELECTRIC,6828,295000,126661,41.21922,-73.25309,8831
354,W.R. BERKLEY,6830,7608,7654,41.01869,-73.62254,601.9
191,XPO LOGISTICS,6831,87000,14619,41.01936,-73.64796,69
162,XEROX,6850,133600,17126,41.14499,-73.42985,-477
360,EMCOR GROUP,6851,31000,7552,41.14935,-73.42656,181.9
313,FRONTIER COMMUNICATIONS,6851,28332,8896,41.14844,-73.42684,-373
268,PRICELINE GROUP,6854,18500,10743,41.09313,-73.45417,2135
445,TEREX,6880,18100,5841,41.12544,-73.33089,-176.1
96,CHARTER COMMUNICATIONS,6901,91500,29003,41.04985,-73.5389,3522
386,HARMAN INTERNATIONAL INDUSTRIES,6901,26000,6912,41.04985,-73.5389,361.7
185,SYNCHRONY FINANCIAL,6902,15000,15122,41.09674,-73.56197,2251
452,UNITED RENTALS,6902,12500,5762,41.04426,-73.54979,566
245,BB&T CORP.,27101,37500,11538,36.09576,-80.24518,2426
223,REYNOLDS AMERICAN,27101,5525,12503,36.09949,-80.24373,6073
432,HANESBRANDS,27105,67800,6063,36.18974,-80.26355,539.4
495,BIG LOTS,43228,23150,5200,39.95917,-83.10936,152.8
