x,y,z,group
0.021245069801807404,-0.10375810414552689,-0.007543080952018499,T
-0.09993428736925125,-0.057345423847436905,0.04741526395082474,T
0.007010015659034252,0.10769829154014587,0.006489723455160856,T
0.07635559886693954,-0.007086653728038073,0.008351119235157967,T
0.030020330101251602,-0.12686751782894135,0.022745098918676376,T
-0.16627724468708038,0.13447672128677368,-0.23755502700805664,M
-0.07417154312133789,-0.047575920820236206,-0.017857523635029793,M
-0.07773643732070923,0.13395270705223083,-0.08738154917955399,M
-0.08621310442686081,0.05060620978474617,-0.10130369663238525,M
-0.16654495894908905,-0.07423406094312668,0.03560913726687431,M
-0.07699219882488251,0.09614749997854233,-0.15117433667182922,M
-0.22253265976905823,0.11776651442050934,-0.1141333281993866,M
-0.005849018227308989,-0.06292280554771423,-0.23172205686569214,M
-0.04388336464762688,0.02202884666621685,-0.054217446595430374,M
-0.14655190706253052,-0.1483464241027832,-0.1846826672554016,M
0.08668108284473419,-0.010539093054831028,-0.24239785969257355,M
-0.017191655933856964,0.022208373993635178,-0.05487959086894989,M
0.01432446576654911,0.2918936610221863,0.031088002026081085,M
0.06809215992689133,-0.0112298633903265,-0.06327775865793228,M
-0.06036293879151344,0.01793833263218403,0.08238806575536728,M
-0.3378225564956665,0.06536438316106796,-0.07056955248117447,M
0.03559527546167374,-0.014392375014722347,-0.004826020915061235,M
-0.04340806603431702,-0.16733483970165253,0.01980101317167282,M
0.09592169523239136,0.0019452867563813925,-0.152680903673172,M
0.12205696851015091,0.04672924429178238,0.16217081248760223,M
-0.055941611528396606,-0.18800486624240875,0.08743847906589508,M
-0.0018692262237891555,0.2339240163564682,0.1354368031024933,M
0.06294199824333191,-0.006228358019143343,-0.16460692882537842,M
-0.2801136374473572,0.020777283236384392,0.14826759696006775,M
0.1294979304075241,-0.16192755103111267,-0.08444587141275406,M
-0.1677074432373047,-0.2414148598909378,0.04391789436340332,M
-0.010379655286669731,-0.0531805194914341,-0.0935462936758995,M
-0.05876977741718292,0.061472781002521515,0.0007251740316860378,M
-0.018482951447367668,-0.03590529412031174,-0.14668451249599457,M
-0.09197495877742767,0.07718680799007416,-0.195166677236557,M
-0.27955421805381775,-0.05739947035908699,0.1259298324584961,M
0.17235727608203888,0.14517216384410858,0.11594029515981674,M
-0.22650456428527832,-0.11145709455013275,0.03094576485455036,M
-0.06256452202796936,-0.1371736228466034,-0.1807011365890503,M
-0.01784994825720787,0.07078669220209122,0.009420586749911308,M
-0.045049816370010376,-0.011054057627916336,-0.049784306436777115,M
-0.0159403495490551,-0.011978465132415295,0.01757131703197956,M
0.21724142134189606,-0.0005152214434929192,-0.15314844250679016,M
