block,avg_lat,avg_lng
DARIEN WAY 900,37.72931369625,-122.46083803625
PALOMA AVE 100,37.728928685,-122.4703804175
SWEENY ST 700,37.7303731964444,-122.418166671111
VAN NESS AVE 1900,37.7935876511111,-122.422644586667
EASTWOOD DR 0,37.7266217072727,-122.457323080303
POWELL ST 200,37.7868050368182,-122.408122535
SHOTWELL ST 1300,37.7478126375,-122.415145625833
BIRD ST 0,37.762100565,-122.422618653333
QUARTZ WAY 0,37.74574323,-122.445854364286
ALPHA ST 400,37.71227253,-122.40542813
PIERCE ST 2700,37.7952897716667,-122.438468446667
VICENTE ST 2600,37.7385186736364,-122.495336849091
ROLPH ST 100,37.7146887125714,-122.439116786286
TREAT AVE 1600,37.74471892,-122.412352809333
MARTINEZ ST 0,37.79901263,-122.454717615
DUNCAN ST 200,37.7461640964444,-122.425793056667
TOLAND ST 200,37.7456160933333,-122.397148086667
OLMSTEAD ST 0,37.72279143,-122.402309296667
COLEMAN ST 100,37.7283272308333,-122.368306315
ORTEGA ST 1700,37.7523628566667,-122.482261823333
TOPAZ WAY 200,37.7400588282143,-122.438083938214
21ST ST 3300,37.7568588637097,-122.422258170161
11TH AVE 200,37.783621545625,-122.469852442031
LISBON ST 600,37.7180510046939,-122.436596802041
20TH AVE 2600,37.73833285,-122.4767090876
BACON ST 100,37.72744243625,-122.40411115125
HEAD ST 0,37.708412735,-122.464259625
HAMPSHIRE ST 100,37.7673608271429,-122.408555842857
BRODERICK ST 2800,37.7965174780952,-122.443929692857
24TH AVE 300,37.7830992094444,-122.483872474444
CHESTNUT ST 2600,37.7994773605556,-122.446803107222
05TH AVE 1200,37.765159469375,-122.462117453333
SLOAT BLVD 1000,37.7343255833333,-122.482494263333
PALOU AVE 1800,37.7366834370968,-122.395768772581
JUANITA WAY 0,37.7439716502778,-122.452525610556
SUTTER ST 1700,37.7864733725926,-122.429191131852
MADDUX AVE 100,37.7329503856522,-122.399325292174
NIBBI CT 0,37.7101950583333,-122.396076326667
FULTON ST 2000,37.7750582823809,-122.450462536667
FELL ST 1200,37.7740242826667,-122.438489316
FOLSOM ST 0,37.79023316,-122.390249495
ALVARADO ST 900,37.7530678222222,-122.441537436667
10TH AVE 1700,37.7555742593478,-122.466813990217
LAGUNA ST 3500,37.80348427,-122.43198624
17TH ST 4600,37.761830184,-122.4473248615
TAYLOR ST 2300,37.8040971,-122.41480372
GEARY BLVD 6200,37.7799643425,-122.486306955833
ITALY AVE 400,37.71693148,-122.43600511
BURNETT AVE 500,37.75220498,-122.444243743333
PACIFIC AVE 3400,37.790897476,-122.451775843
JUAN BAUTISTA CIR 100,37.717788223,-122.479254446
ACADIA ST 100,37.7320542128571,-122.437420655714
MINT ST 0,37.78245892,-122.407681526667
ZOO RD 0,37.73290949,-122.50323956
34TH AVE 1700,37.7545049083333,-122.492593952143
46TH AVE 1600,37.7557856388636,-122.505604055682
IGNACIO AVE 0,37.7157145916667,-122.388692166667
NATOMA ST 100,37.78642369625,-122.399707125
MACARTHUR AVE 200,37.80556986,-122.42809628
MORAGA ST 700,37.7563950636364,-122.470444296364
WHITING ST 0,37.804014636,-122.407906854
CALGARY ST 0,37.70861835,-122.416203004118
GAMBIER ST 0,37.7283898075,-122.422518274167
JENNINGS ST 200,37.73901053,-122.37866223
GREEN ST 200,37.80012588625,-122.40370760125
YALE ST 300,37.7257981891111,-122.417504077778
SAN JOSE AVE 2900,37.71168678,-122.4553963
18TH AVE 1700,37.7552188247368,-122.475451736053
31ST AVE 2300,37.7434582895122,-122.488596543415
POLK ST 3100,37.80601837,-122.42363137
KEARNY ST 400,37.7919592775,-122.40445292
ARCO WAY 0,37.7272941338462,-122.444002232308
FELL ST 1300,37.7739529711111,-122.440001928333
AMETHYST WAY 0,37.7462962756667,-122.44618061
CRESTLAKE DR 100,37.73527722,-122.48325853
RUSSIA AVE 0,37.7215136323077,-122.436725389231
12TH AVE 1200,37.7647784330769,-122.469554784615
MURRAY ST 200,37.7336109883333,-122.422988221667
SCOTT ST 200,37.7719904510345,-122.435425831034
LAKEVIEW AVE 700,37.7181443028571,-122.460958936122
BRAZIL AVE 0,37.72447695,-122.43436144
23RD ST 400,37.75528485,-122.384063163333
NORIEGA ST 1800,37.7540708947059,-122.483485818823
CORONA ST 0,37.7225270880952,-122.467275361429
APTOS AVE 0,37.7310872638095,-122.466111827143
POST ST 1800,37.7853572506667,-122.432168659333
FOLSOM ST 200,37.7890514533333,-122.392180993333
WRIGHT LOOP 1300,37.797154465,-122.472758305
FLORENCE ST 0,37.7973192377778,-122.414737514444
ULLOA ST 600,37.7406757853333,-122.462019316667
MARKET ST 3000,37.7610497411268,-122.44216577493
FRANCISCO ST 1500,37.802357256087,-122.430553227826
BRYANT ST 2300,37.7567108672,-122.409464708533
LONDON ST 500,37.7203818896078,-122.437010503922
MINNESOTA ST 1000,37.75746355875,-122.3899524
33RD AVE 1900,37.7507974657143,-122.491285660612
DIXIE ALY 0,37.75358876,-122.4422257
LOWELL ST 100,37.7103379034783,-122.445667073478
GOLDBERG LN 0,37.79010327,-122.433798855
NORTH POINT ST 500,37.806470096,-122.415958934
PERSIA AVE 600,37.7206636433333,-122.430785628
PRESCOTT CT 0,37.7989221092308,-122.403158020769
ALADDIN TER 0,37.8003989044444,-122.413635581111
16TH AVE 500,37.7776530563636,-122.474883877576
GARFIELD ST 0,37.71983869,-122.46304985
ULLOA ST 3900,37.7404139166667,-122.498613583333
MOLIMO DR 300,37.73716356875,-122.45198096375
CHINA BASIN ST 600,37.77170921,-122.39255147
30TH AVE 400,37.7807908915385,-122.490421427308
MORAGA ST 3300,37.7551311022222,-122.498566572222
ELLIS ST 1800,37.7818883185714,-122.436501870612
FELTON ST 600,37.7283584557143,-122.411074675714
MORAGA ST 1000,37.7562736266667,-122.473969373333
GRIFFITH ST 1300,37.7268184475,-122.3806325925
FILLMORE ST 0,37.769880215,-122.4300741
DELTA ST 0,37.7190016666667,-122.406575057778
NOE ST 200,37.7652062264912,-122.433238192281
CAYUGA AVE 1100,37.7201335295,-122.440865274
BARNEVELD AVE 800,37.7325920075,-122.4071309975
BROAD ST 100,37.7131494501587,-122.457572966349
CARNELIAN WAY 100,37.747801943125,-122.440275385313
WEBSTER ST 1500,37.78504243,-122.431475615
RAYMOND AVE 100,37.7129557090909,-122.406122867879
BRODERICK ST 100,37.7716521016667,-122.438804928333
ROSSMOOR DR 0,37.7304385108,-122.4735110324
07TH ST 500,37.7737759684211,-122.404092470526
